Hostname;Architecture;Hostgroup;Product;Version;Discipline;Platform;Environment;Country;IP;OS;Creation date;Storage;Flavour;Description
cfm2bor01;physical;crblc01;oraclerac;original;datasql;mx-live;ora;CR;10.55.254.11;rhel-8.4;2023/04/24 - 19:49 CEST;;-;Oracle Rac Fisico
cfm2bor02;physical;crblc01;oraclerac;original;datasql;mx-live;ora;CR;10.55.254.12;rhel-8.4;2023/04/24 - 20:27 CEST;;-;Oracle Rac Fisico
cfm2bor03;physical;mxblc02;oraclerac;original;datasql;mx-live;ora;MX;10.55.254.17;rhel-8.4;2023/03/17 - 05:38 CEST;;-;Oracle Rac Fisico
cfm2bor04;physical;mxblc02;oraclerac;original;datasql;mx-live;ora;MX;10.55.254.18;rhel-8.4;2023/03/22 - 19:24 CEST;;-;Oracle Rac Fisico
cfm2por09;physical;mxlc03;oraclerac;original;datasql;mx-live;ora;MX;10.55.12.49;rhel-8.4;2022/08/15 - 18:12 CEST;;-;Oracle Rac Fisico
cfm2por10;physical;mxlc03;oraclerac;original;datasql;mx-live;ora;MX;10.55.12.72;rhel-8.4;2022/08/02 - 15:25 CEST;;-;Oracle Rac Fisico
cfm2por11;physical;mxlc05;oraclerac;original;datasql;mx-live;ora;MX;10.55.12.53;rhel-8.4;2023/05/03 - 21:31 CEST;;-;Oracle Rac Fisico
cfm2por12;physical;mxlc05;oraclerac;original;datasql;mx-live;ora;MX;10.55.12.73;rhel-8.4;2023/05/03 - 21:54 CEST;;-;Oracle Rac Fisico
cfm2por13;physical;mxlc05;oraclerac;original;datasql;mx-live;ora;MX;10.55.12.77;rhel-8.4;2023/05/03 - 22:19 CEST;;-;Oracle Rac Fisico
cfm2por14;physical;crlc05;oraclerac;original;datasql;mx-live;ora;CR;10.55.12.79;rhel-8.4;2023/10/05 - 21:06 CEST;;-;Oracle Rac Fisico
cfm2por15;physical;crlc05;oraclerac;original;datasql;mx-live;ora;CR;10.55.12.80;rhel-8.4;2023/10/09 - 17:06 CEST;;-;Oracle Rac Fisico
